Picard 
n:     x:               residuum:        estymator: 
 95    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 96    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 97    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 98    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 99    2.2049730e+00    5.3290705e-15    2.2204460e-16  
100    2.2049730e+00    5.3290705e-15    2.2204460e-16  
Metoda Newtona 
n:     x:               residuum:        estymator: 
  1    2.2184767e+00    3.1985602e-01    3.1523327e-02  
  2    2.2061932e+00    2.6505963e-02    1.2283448e-02  
  3    2.2049829e+00    2.1514081e-04    1.2102799e-03  
  4    2.2049730e+00    1.4408724e-08    9.9849124e-06  
  5    2.2049730e+00    3.9968029e-15    6.6881389e-10  
  6    2.2049730e+00    3.9968029e-15    0.0000000e+00  
Metoda siecznych
n:     x:               residuum:        estymator: 
  1    2.2422675e+00    1.0702911e+00    7.7325389e-03  
  2    2.2161634e+00    2.6062534e-01    2.6104101e-02  
  3    2.2077606e+00    6.1201146e-02    8.4027140e-03  
  4    2.2051819e+00    4.5085836e-03    2.5787028e-03  
  5    2.2049769e+00    8.4164487e-05    2.0507623e-04  
  6    2.2049730e+00    1.1797204e-07    3.9011078e-06  
  7    2.2049730e+00    3.0957459e-12    5.4757967e-09  
  8    2.2049730e+00    3.9968029e-15    1.4388490e-13  
  9    2.2049730e+00    3.9968029e-15    0.0000000e+00  
